config,exp,rep,name,pid,arrive,first,end,cpu,wait,sleep,response,turnaround,maxwait,dispatch,expire,preempt,nsleep,demote,promote,prio,q0,q1,q2
aging0,aging,1,stream,6,373,39262,259442,100037,159031,0,38889,259069,120142,2,1,0,0,1,0,1,40030,60006,0
aging0,aging,1,stream,7,747,79305,359713,100038,258927,0,78558,358966,180369,2,1,0,0,1,0,1,40030,60008,0
aging0,aging,1,stream,8,260035,260051,460368,100032,100300,0,16,200333,100284,2,1,0,0,1,0,1,39641,60391,0
aging0,aging,1,stream,9,360307,360323,560476,100032,100136,0,16,200169,100120,2,1,0,0,1,0,1,39641,60390,0
aging0,aging,1,stream,10,460939,460954,661108,100032,100136,0,15,200169,100120,2,1,0,0,1,0,1,39118,60914,0
aging0,aging,1,stream,11,561047,561062,761218,100034,100136,0,15,200171,100120,2,1,0,0,1,0,1,39118,60916,0
aging0,aging,1,stream,12,661678,661694,861847,100032,100136,0,16,200169,100120,2,1,0,0,1,0,1,38595,61437,0
aging0,aging,1,stream,13,761789,761804,961956,100030,100136,0,15,200167,100120,2,1,0,0,1,0,1,38592,61437,0
aging0,aging,1,stream,14,862418,862433,1062587,100032,100136,0,15,200169,100120,2,1,0,0,1,0,1,38072,61960,0
aging0,aging,1,stream,15,962527,962543,1162698,100034,100136,0,16,200171,100120,2,1,0,0,1,0,1,38071,61963,0
aging0,aging,1,stream,16,1063157,1063173,1263327,100032,100136,0,16,200170,100120,2,1,0,0,1,0,1,37548,62483,0
aging0,aging,1,stream,17,1163269,1163285,1363436,100030,100136,0,16,200167,100120,2,1,0,0,1,0,1,37545,62484,0
aging0,aging,1,stream,18,1263898,1263913,1464066,100032,100136,0,15,200168,100120,2,1,0,0,1,0,1,37025,63006,0
aging0,aging,1,stream,19,1364007,1364023,1564178,100034,100136,0,16,200171,100120,2,1,0,0,1,0,1,37024,63010,0
aging0,aging,1,stream,20,1464637,1464653,1664806,100032,100136,0,16,200169,100120,2,1,0,0,1,0,1,36502,63529,0
aging0,aging,1,stream,21,1564749,1564765,1764919,100032,100136,0,16,200170,100121,2,1,0,0,1,0,1,36498,63534,0
aging0,aging,1,stream,22,1665376,1665392,1865546,100032,100136,0,16,200170,100120,2,1,0,0,1,0,1,35980,64052,0
aging0,aging,1,stream,23,1765490,1765506,1965659,100032,100136,0,16,200169,100120,2,1,0,0,1,0,1,35975,64057,0
aging0,aging,1,stream,24,1866116,1866132,2066285,100032,100136,0,16,200169,100120,2,1,0,0,1,0,1,35456,64575,0
aging0,aging,1,stream,25,1966230,1966246,2131079,100032,64816,0,16,164849,64800,2,1,0,0,1,0,1,35451,64581,0
aging0,aging,1,long,5,0,763,2312775,300032,2012742,0,763,2312775,1931868,4,3,0,0,2,0,2,38486,80074,181472
aging0,aging,2,stream,28,373,39262,259442,100037,159031,0,38889,259069,120142,2,1,0,0,1,0,1,40030,60007,0
aging0,aging,2,stream,29,747,79305,359713,100038,258927,0,78558,358966,180369,2,1,0,0,1,0,1,40030,60008,0
aging0,aging,2,stream,30,260035,260051,460368,100032,100300,0,16,200333,100284,2,1,0,0,1,0,1,39641,60391,0
aging0,aging,2,stream,31,360307,360323,560476,100032,100136,0,16,200169,100120,2,1,0,0,1,0,1,39641,60390,0
aging0,aging,2,stream,32,460939,460955,661108,100032,100136,0,16,200169,100120,2,1,0,0,1,0,1,39118,60914,0
aging0,aging,2,stream,33,561047,561063,761218,100034,100136,0,16,200171,100120,2,1,0,0,1,0,1,39118,60916,0
aging0,aging,2,stream,34,661679,661694,861847,100032,100136,0,15,200168,100120,2,1,0,0,1,0,1,38595,61437,0
aging0,aging,2,stream,35,761789,761805,961956,100030,100136,0,16,200167,100120,2,1,0,0,1,0,1,38592,61437,0
aging0,aging,2,stream,36,862418,862434,1062587,100032,100136,0,16,200169,100120,2,1,0,0,1,0,1,38072,61960,0
aging0,aging,2,stream,37,962527,962543,1162698,100034,100136,0,16,200171,100120,2,1,0,0,1,0,1,38070,61963,0
aging0,aging,2,stream,38,1063158,1063173,1263327,100032,100136,0,15,200169,100121,2,1,0,0,1,0,1,37548,62483,0
aging0,aging,2,stream,39,1163269,1163285,1363436,100030,100136,0,16,200167,100120,2,1,0,0,1,0,1,37545,62484,0
aging0,aging,2,stream,40,1263898,1263914,1464067,100032,100136,0,16,200169,100120,2,1,0,0,1,0,1,37025,63006,0
aging0,aging,2,stream,41,1364007,1364023,1564179,100034,100136,0,16,200172,100120,2,1,0,0,1,0,1,37024,63010,0
aging0,aging,2,stream,42,1464638,1464654,1664806,100032,100136,0,16,200168,100120,2,1,0,0,1,0,1,36502,63529,0
aging0,aging,2,stream,43,1564750,1564765,1764919,100032,100136,0,15,200169,100121,2,1,0,0,1,0,1,36498,63533,0
aging0,aging,2,stream,44,1665377,1665393,1865546,100032,100136,0,16,200169,100120,2,1,0,0,1,0,1,35980,64052,0
aging0,aging,2,stream,45,1765490,1765506,1965660,100033,100136,0,16,200170,100120,2,1,0,0,1,0,1,35975,64058,0
aging0,aging,2,stream,46,1866117,1866133,2066286,100032,100136,0,16,200169,100120,2,1,0,0,1,0,1,35456,64575,0
aging0,aging,2,stream,47,1966231,1966247,2131080,100032,64816,0,16,164849,64800,2,1,0,0,1,0,1,35450,64581,0
aging0,aging,2,long,27,0,763,2312776,300032,2012743,0,763,2312776,1931869,4,3,0,0,2,0,2,38486,80074,181471
aging0,aging,3,stream,50,373,39262,259442,100037,159031,0,38889,259069,120142,2,1,0,0,1,0,1,40030,60007,0
aging0,aging,3,stream,51,747,79305,359713,100038,258927,0,78558,358966,180369,2,1,0,0,1,0,1,40030,60008,0
aging0,aging,3,stream,52,260035,260051,460368,100032,100299,0,16,200333,100284,2,1,0,0,1,0,1,39641,60391,0
aging0,aging,3,stream,53,360307,360323,560476,100031,100136,0,16,200169,100120,2,1,0,0,1,0,1,39641,60390,0
aging0,aging,3,stream,54,460939,460955,661108,100032,100136,0,16,200169,100120,2,1,0,0,1,0,1,39118,60914,0
aging0,aging,3,stream,55,561047,561063,761218,100034,100136,0,16,200171,100120,2,1,0,0,1,0,1,39118,60916,0
aging0,aging,3,stream,56,661678,661694,861847,100032,100136,0,16,200169,100120,2,1,0,0,1,0,1,38595,61437,0
aging0,aging,3,stream,57,761789,761805,961956,100030,100136,0,16,200167,100120,2,1,0,0,1,0,1,38592,61437,0
aging0,aging,3,stream,58,862418,862434,1062587,100032,100136,0,16,200169,100120,2,1,0,0,1,0,1,38072,61960,0
aging0,aging,3,stream,59,962527,962543,1162698,100034,100136,0,16,200171,100120,2,1,0,0,1,0,1,38070,61963,0
aging0,aging,3,stream,60,1063157,1063173,1263327,100032,100136,0,16,200170,100121,2,1,0,0,1,0,1,37548,62483,0
aging0,aging,3,stream,61,1163269,1163285,1363436,100030,100136,0,16,200167,100120,2,1,0,0,1,0,1,37545,62484,0
aging0,aging,3,stream,62,1263898,1263914,1464067,100032,100136,0,16,200169,100120,2,1,0,0,1,0,1,37025,63006,0
aging0,aging,3,stream,63,1364007,1364023,1564178,100034,100136,0,16,200171,100120,2,1,0,0,1,0,1,37024,63009,0
aging0,aging,3,stream,64,1464638,1464653,1664806,100032,100136,0,15,200168,100120,2,1,0,0,1,0,1,36502,63529,0
aging0,aging,3,stream,65,1564749,1564765,1764919,100032,100136,0,16,200170,100121,2,1,0,0,1,0,1,36498,63534,0
aging0,aging,3,stream,66,1665377,1665392,1865546,100032,100136,0,15,200169,100120,2,1,0,0,1,0,1,35980,64052,0
aging0,aging,3,stream,67,1765490,1765506,1965660,100032,100136,0,16,200170,100120,2,1,0,0,1,0,1,35975,64057,0
aging0,aging,3,stream,68,1866117,1866133,2066286,100032,100136,0,16,200169,100120,2,1,0,0,1,0,1,35456,64575,0
aging0,aging,3,stream,69,1966231,1966246,2131079,100032,64816,0,15,164848,64800,2,1,0,0,1,0,1,35450,64581,0
aging0,aging,3,long,49,0,763,2312775,300032,2012743,0,763,2312775,1931868,4,3,0,0,2,0,2,38486,80074,181471
aging100,aging,1,stream,6,374,39262,259443,100037,159031,0,38888,259069,120142,2,1,0,0,1,0,1,40030,60007,0
aging100,aging,1,stream,7,747,79306,359715,100038,258929,0,78559,358968,180370,2,1,0,0,1,0,1,40030,60008,0
aging100,aging,1,stream,8,260037,260053,460370,100033,100300,0,16,200333,100284,2,1,0,0,1,0,1,39641,60391,0
aging100,aging,1,stream,9,360309,360325,560479,100032,100137,0,16,200170,100121,2,1,0,0,1,0,1,39641,60391,0
aging100,aging,1,stream,10,460941,460957,661111,100033,100136,0,16,200170,100121,2,1,0,0,1,0,1,39118,60914,0
aging100,aging,1,stream,11,561050,561066,761222,100034,100137,0,16,200172,100121,2,1,0,0,1,0,1,39118,60916,0
aging100,aging,1,stream,12,661682,661698,861852,100033,100136,0,16,200170,100120,2,1,0,0,1,0,1,38594,61438,0
aging100,aging,1,stream,13,761793,761809,961961,100030,100137,0,16,200168,100121,2,1,0,0,1,0,1,38592,61438,0
