config,exp,rep,name,pid,arrive,first,end,cpu,wait,sleep,response,turnaround,maxwait,dispatch,expire,preempt,nsleep,demote,promote,prio,q0,q1,q2
aging0,aging,1,stream,6,385,38396,261921,100485,161050,0,38011,261536,123039,2,1,0,0,1,0,1,40741,59744,0
aging0,aging,1,stream,7,657,79281,364494,100320,263515,0,78624,363837,184891,2,1,0,0,1,0,1,40902,59418,0
aging0,aging,1,stream,8,263247,263376,468378,100396,104734,0,129,205131,104605,2,1,0,0,1,0,1,41610,58785,0
aging0,aging,1,stream,9,365581,365695,568604,100280,102742,0,114,203023,102628,2,1,0,0,1,0,1,43826,56453,0
aging0,aging,1,stream,10,469475,469552,672247,100442,102330,0,77,202772,102252,2,1,0,0,1,0,1,42526,57915,0
aging0,aging,1,stream,11,569771,569872,772597,100267,102558,0,101,202826,102457,2,1,0,0,1,0,1,44390,55877,0
aging0,aging,1,stream,12,674512,674660,877191,100389,102289,0,148,202679,102141,2,1,0,0,1,0,1,41992,58397,0
aging0,aging,1,stream,13,773726,773805,976031,100290,102014,0,79,202305,101936,2,1,0,0,1,0,1,44922,55368,0
aging0,aging,1,stream,14,878436,878513,1070934,100440,92058,0,77,192498,91980,2,1,0,0,1,0,1,42079,58360,0
aging0,aging,1,stream,15,977146,977221,1180015,100274,102593,0,75,202869,102518,2,1,0,0,1,0,1,35285,64989,0
aging0,aging,1,stream,16,1073317,1073475,1276062,100441,102303,0,158,202745,102145,2,1,0,0,1,0,1,41440,59001,0
aging0,aging,1,stream,17,1181131,1181208,1383648,100272,102244,0,77,202517,102168,2,1,0,0,1,0,1,35807,64465,0
aging0,aging,1,stream,18,1277140,1277214,1479679,100270,102268,0,74,202539,102194,2,1,0,0,1,0,1,41900,58370,0
aging0,aging,1,stream,19,1384721,1384797,1587079,100274,102083,0,76,202358,102007,2,1,0,0,1,0,1,36442,63832,0
aging0,aging,1,stream,20,1480745,1480840,1683065,100267,102052,0,95,202320,101957,2,1,0,0,1,0,1,42335,57932,0
aging0,aging,1,stream,21,1588151,1588226,1790673,100272,102250,0,75,202522,102174,2,1,0,0,1,0,1,36839,63432,0
aging0,aging,1,stream,22,1684594,1684675,1887134,100259,102281,0,81,202540,102199,2,1,0,0,1,0,1,42476,57783,0
aging0,aging,1,stream,23,1791745,1791841,1994104,100258,102100,0,96,202359,102004,2,1,0,0,1,0,1,37440,62817,0
aging0,aging,1,stream,24,1888212,1888287,2090620,100283,102124,0,75,202408,102049,2,1,0,0,1,0,1,42929,57353,0
aging0,aging,1,stream,25,1995185,1995260,2153860,100294,58380,0,75,158675,58305,2,1,0,0,1,0,1,37938,62355,0
aging0,aging,1,long,5,0,804,2335927,300530,2035397,0,804,2335927,1952555,4,3,0,0,2,0,2,37407,81988,181134
aging0,aging,2,stream,28,281,39907,262489,100298,161909,0,39626,262208,122284,2,1,0,0,1,0,1,40705,59592,0
aging0,aging,2,stream,29,597,80712,365468,100298,264573,0,80115,364871,184457,2,1,0,0,1,0,1,40631,59666,0
aging0,aging,2,stream,30,263705,263794,466120,100247,102167,0,89,202415,102079,2,1,0,0,1,0,1,41940,58307,0
aging0,aging,2,stream,31,366565,366640,568950,100304,102081,0,75,202385,102005,2,1,0,0,1,0,1,41104,59199,0
aging0,aging,2,stream,32,467359,467433,669394,100259,101775,0,74,202035,101700,2,1,0,0,1,0,1,42172,58087,0
aging0,aging,2,stream,33,570172,570249,772321,100275,101872,0,77,202149,101795,2,1,0,0,1,0,1,41020,59255,0
aging0,aging,2,stream,34,670455,670530,872741,100330,101954,0,75,202286,101879,2,1,0,0,1,0,1,42464,57866,0
aging0,aging,2,stream,35,773436,773513,975755,100270,102047,0,77,202319,101971,2,1,0,0,1,0,1,41297,58973,0
aging0,aging,2,stream,36,873816,873893,1076178,100276,102085,0,77,202362,102007,2,1,0,0,1,0,1,42844,57432,0
aging0,aging,2,stream,37,976864,976943,1178980,100267,101847,0,79,202116,101769,2,1,0,0,1,0,1,41734,58533,0
aging0,aging,2,stream,38,1077347,1077425,1279653,100270,102034,0,78,202306,101956,2,1,0,0,1,0,1,42971,57299,0
aging0,aging,2,stream,39,1180056,1180132,1382354,100272,102025,0,76,202298,101949,2,1,0,0,1,0,1,42155,58117,0
aging0,aging,2,stream,40,1280795,1280873,1483300,100252,102253,0,78,202505,102175,2,1,0,0,1,0,1,43295,56957,0
aging0,aging,2,stream,41,1383502,1383579,1586031,100595,101932,0,77,202529,101856,2,1,0,0,1,0,1,42693,57901,0
aging0,aging,2,stream,42,1484383,1484458,1686554,100307,101864,0,75,202171,101789,2,1,0,0,1,0,1,43602,56704,0
aging0,aging,2,stream,43,1587230,1587311,1789597,100274,102093,0,81,202367,102012,2,1,0,0,1,0,1,42473,57801,0
aging0,aging,2,stream,44,1687939,1688023,1890325,100364,102021,0,84,202386,101937,2,1,0,0,1,0,1,43701,56662,0
aging0,aging,2,stream,45,1790712,1790790,1993308,100260,102335,0,78,202596,102256,2,1,0,0,1,0,1,42786,57474,0
aging0,aging,2,stream,46,1891420,1891499,2093789,100308,102061,0,79,202369,101981,2,1,0,0,1,0,1,44263,56045,0
aging0,aging,2,stream,47,1994416,1994501,2151761,100290,57054,0,85,157345,56969,2,1,0,0,1,0,1,43174,57115,0
aging0,aging,2,long,27,0,738,2332715,300298,2032416,0,738,2332715,1949862,4,3,0,0,2,0,2,39092,81422,179784
aging0,aging,3,stream,50,292,40268,263708,100338,163077,0,39976,263416,123101,2,1,0,0,1,0,1,40778,59560,0
aging0,aging,3,stream,51,580,81125,366121,100335,265205,0,80545,365541,184660,2,1,0,0,1,0,1,40838,59496,0
aging0,aging,3,stream,52,264908,264990,467394,100268,102217,0,82,202486,102135,2,1,0,0,1,0,1,41563,58705,0
aging0,aging,3,stream,53,367289,367393,570128,100449,102389,0,104,202839,102285,2,1,0,0,1,0,1,41217,59232,0
aging0,aging,3,stream,54,468641,468726,671401,100434,102326,0,85,202760,102240,2,1,0,0,1,0,1,42098,58336,0
aging0,aging,3,stream,55,571300,571403,775212,100894,103017,0,103,203912,102914,2,1,0,0,1,0,1,41594,59299,0
aging0,aging,3,stream,56,673598,673752,878368,100378,104390,0,154,204770,104236,2,1,0,0,1,0,1,42042,58336,0
aging0,aging,3,stream,57,778781,780084,982653,100367,103504,0,1303,203872,102201,2,1,0,0,1,0,1,39817,60550,0
aging0,aging,3,stream,58,879456,879534,1082235,100286,102492,0,78,202779,102414,2,1,0,0,1,0,1,42500,57786,0
aging0,aging,3,stream,59,983893,983969,1186263,100264,102105,0,76,202370,102029,2,1,0,0,1,0,1,40409,59855,0
aging0,aging,3,stream,60,1083505,1083582,1285813,100263,102045,0,77,202308,101967,2,1,0,0,1,0,1,42735,57527,0
aging0,aging,3,stream,61,1187364,1187601,1389978,100274,102340,0,237,202614,102102,2,1,0,0,1,0,1,40617,59657,0
aging0,aging,3,stream,62,1286902,1286979,1489693,100513,102277,0,77,202791,102200,2,1,0,0,1,0,1,43273,57239,0
aging0,aging,3,stream,63,1391157,1391235,1594046,100326,102561,0,78,202889,102484,2,1,0,0,1,0,1,41148,59178,0
aging0,aging,3,stream,64,1492421,1492540,1695049,100286,102341,0,119,202628,102222,2,1,0,0,1,0,1,42252,58033,0
aging0,aging,3,stream,65,1595118,1595193,1797800,100450,102232,0,75,202682,102156,2,1,0,0,1,0,1,41752,58697,0
aging0,aging,3,stream,66,1696289,1696385,1898900,100278,102332,0,96,202611,102237,2,1,0,0,1,0,1,42645,57632,0
aging0,aging,3,stream,67,1799850,1799930,2003800,100285,103664,0,80,203950,103585,2,1,0,0,1,0,1,41237,59048,0
aging0,aging,3,stream,68,1899989,1900064,2102733,100336,102407,0,75,202744,102332,2,1,0,0,1,0,1,44618,55718,0
aging0,aging,3,stream,69,2004879,2004954,2162161,100266,57015,0,75,157282,56940,2,1,0,0,1,0,1,41948,58318,0
aging0,aging,3,long,49,0,708,2341826,300254,2041571,0,708,2341826,1958972,4,3,0,0,2,0,2,39480,82066,178707
aging0,aging,4,stream,72,413,40063,263995,100323,163258,0,39650,263582,123608,2,1,0,0,1,0,1,40841,59482,0
aging0,aging,4,stream,73,833,80982,366177,100313,265030,0,80149,365344,184881,2,1,0,0,1,0,1,40835,59478,0
aging0,aging,4,stream,74,265485,265625,468105,100403,102216,0,140,202620,102076,2,1,0,0,1,0,1,40999,59404,0
aging0,aging,4,stream,75,367254,367330,569826,100301,102271,0,76,202572,102195,2,1,0,0,1,0,1,41303,58997,0
aging0,aging,4,stream,76,469219,469295,671645,100305,102120,0,76,202426,102044,2,1,0,0,1,0,1,41463,58842,0
aging0,aging,4,stream,77,571116,571191,773496,100277,102103,0,75,202380,102027,2,1,0,0,1,0,1,41564,58713,0
aging0,aging,4,stream,78,672783,672859,875227,100270,102174,0,76,202444,102097,2,1,0,0,1,0,1,41852,58418,0
aging0,aging,4,stream,79,774551,774628,977147,100245,102351,0,77,202596,102274,2,1,0,0,1,0,1,42114,58131,0
aging0,aging,4,stream,80,876666,876748,1079508,100315,102526,0,82,202842,102444,2,1,0,0,1,0,1,42200,58114,0
aging0,aging,4,stream,81,978492,978569,1180985,100279,102213,0,77,202493,102135,2,1,0,0,1,0,1,42782,57497,0
